Iteration	Payoff	Chain	Status	Baseline Natural Flux	Atmospheric Lifetime of N2O	Effective Sensitivity of Temperature on N2O Flux	
1	  -3460585.2		7	    10615100	         130	        0.06	
1	  -3460585.2		0	    10615100	         130	        0.06	
2	   -40185779	1	0	   6191687.9	   77.111813	 0.025151635	
3	  -205500.96		7	    13840375	    140.4946	 0.015803257	
3	  -205500.96	2	0	    13840375	    140.4946	 0.015803257	
4	   -18792480	3	0	    14853033	   72.399263	 0.022705189	
5	   -10779778	4	0	   8391272.9	   118.43924	 0.038719325	
6	  -1829757.8	5	0	    13611363	   187.25079	 0.013047846	
7	  -7851980.3	6	0	    18209189	   176.13385	0.0039669364	
8	  -5774641.3	7	0	   7133708.4	   154.09708	0.0072041261	
9	   -24341451	8	0	    14285524	   66.870662	  0.03564235	
10	   -26456212	9	0	    16018241	   59.952676	 0.044825774	
20	  -3460585.2		2	    10615100	         130	        0.06	
20	   -28033739	1	1	    10180539	   77.111813	           0	
20	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
20	   -18792480	3	2	    14853033	   72.399263	 0.022705189	
20	  -6708044.8	4	1	     6000000	   158.26422	        0.06	
20	  -1829757.8	5	2	    13611363	   187.25079	 0.013047846	
20	  -7851980.3	6	2	    18209189	   176.13385	0.0039669364	
20	  -5098172.4	7	1	   7238315.2	   154.09708	 0.047090643	
20	   -19564630	8	1	   6681945.9	   106.72086	 0.052433588	
20	  -8775094.9	9	1	    12122016	   102.51153	  0.01376631	
30	  -432460.91		1	    10615100	         200	        0.06	
30	   -13657916	1	1	    12901014	   88.525952	           0	
30	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
30	  -7553170.4	3	1	    20000000	   75.910341	           0	
30	  -1869876.9	4	1	   6202082.4	         200	        0.06	
30	  -185845.37		7	   9623611.4	   187.25079	 0.013565835	
30	  -185845.37	5	1	   9623611.4	   187.25079	 0.013565835	
30	  -102890.21		7	    11696234	   176.13385	0.0039669364	
30	  -102890.21	6	1	    11696234	   176.13385	0.0039669364	
30	  -907744.25	7	1	   7238315.2	         200	 0.047090643	
30	  -6029381.2	8	1	     6000000	   162.56756	        0.06	
30	  -6277025.8	9	1	    13542174	   102.51153	  0.01376631	
40	  -432460.91		2	    10615100	         200	        0.06	
40	   -13657916	1	2	    12901014	   88.525952	           0	
40	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
40	  -5663913.3	3	1	    20000000	   79.092978	 0.012197616	
40	  -1869876.9	4	2	   6202082.4	         200	        0.06	
40	  -185845.37	5	2	   9623611.4	   187.25079	 0.013565835	
40	  -102890.21	6	2	    11696234	   176.13385	0.0039669364	
40	  -907744.25	7	2	   7238315.2	         200	 0.047090643	
40	  -2388810.7	8	1	     6000000	         200	 0.021242009	
40	  -6277025.8	9	2	    13542174	   102.51153	  0.01376631	
50	  -432460.91		2	    10615100	         200	        0.06	
50	   -13657916	1	2	    12901014	   88.525952	           0	
50	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
50	  -5663913.3	3	2	    20000000	   79.092978	 0.012197616	
50	  -1869876.9	4	2	   6202082.4	         200	        0.06	
50	  -185845.37	5	2	   9623611.4	   187.25079	 0.013565835	
50	  -102890.21	6	2	    11696234	   176.13385	0.0039669364	
50	  -907744.25	7	2	   7238315.2	         200	 0.047090643	
50	  -2388810.7	8	2	     6000000	         200	 0.021242009	
50	  -6277025.8	9	2	    13542174	   102.51153	  0.01376631	
60	  -432460.91		2	    10615100	         200	        0.06	
60	  -9291557.5	1	1	    15106070	   88.525952	           0	
60	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
60	  -5663913.3	3	2	    20000000	   79.092978	 0.012197616	
60	  -1869876.9	4	2	   6202082.4	         200	        0.06	
60	  -185845.37	5	2	   9623611.4	   187.25079	 0.013565835	
60	  -102890.21	6	2	    11696234	   176.13385	0.0039669364	
60	  -907744.25	7	2	   7238315.2	         200	 0.047090643	
60	    -2216903	8	1	     6000000	         200	 0.045717631	
60	  -6277025.8	9	2	    13542174	   102.51153	  0.01376631	
70	  -94192.888		7	   9676918.7	         200	        0.06	
70	  -94192.888		1	   9676918.7	         200	        0.06	
70	  -9291557.5	1	2	    15106070	   88.525952	           0	
70	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
70	  -5663913.3	3	2	    20000000	   79.092978	 0.012197616	
70	  -1869876.9	4	2	   6202082.4	         200	        0.06	
70	  -185845.37	5	2	   9623611.4	   187.25079	 0.013565835	
70	  -102890.21	6	2	    11696234	   176.13385	0.0039669364	
70	  -762899.09	7	1	    11922952	   147.67361	           0	
70	  -1335416.5	8	1	     6772467	         200	 0.045717631	
70	  -259724.54	9	1	    11204032	   163.62684	 0.016626667	
80	  -94192.888		2	   9676918.7	         200	        0.06	
80	  -127072.56	1	1	    15106070	   139.19479	 0.037468808	
80	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
80	  -1866914.2	3	1	    18386047	   98.156217	           0	
80	  -1869876.9	4	2	   6202082.4	         200	        0.06	
80	  -185845.37	5	2	   9623611.4	   187.25079	 0.013565835	
80	  -102890.21	6	2	    11696234	   176.13385	0.0039669364	
80	  -762899.09	7	2	    11922952	   147.67361	           0	
80	  -1335416.5	8	2	     6772467	         200	 0.045717631	
80	  -259724.54	9	2	    11204032	   163.62684	 0.016626667	
90	  -94192.888		2	   9676918.7	         200	        0.06	
90	  -127072.56	1	2	    15106070	   139.19479	 0.037468808	
90	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
90	  -1866914.2	3	2	    18386047	   98.156217	           0	
90	  -601202.37	4	1	   7570630.8	         200	        0.06	
90	  -179133.78	5	1	   9623611.4	   187.25079	 0.015967132	
90	   -100664.6	6	1	    11696234	   176.13385	           0	
90	  -762899.09	7	2	    11922952	   147.67361	           0	
90	  -132679.89	8	1	    15170982	   139.02629	  0.03634052	
90	  -259724.54	9	2	    11204032	   163.62684	 0.016626667	
100	  -91451.576		7	   9660992.9	         200	        0.06	
100	  -91451.576		1	   9660992.9	         200	        0.06	
100	  -127072.56	1	2	    15106070	   139.19479	 0.037468808	
100	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
100	  -821300.91	3	1	    20000000	   98.156217	           0	
100	  -161359.34	4	1	   8500371.7	         200	        0.06	
100	  -110846.68	5	1	    14622407	   142.42173	0.0043160878	
100	   -100664.6	6	2	    11696234	   176.13385	           0	
100	  -762899.09	7	2	    11922952	   147.67361	           0	
100	   -65438.09		7	   9146857.9	   199.79467	 0.047247652	
100	   -65438.09	8	1	   9146857.9	   199.79467	 0.047247652	
100	  -259724.54	9	2	    11204032	   163.62684	 0.016626667	
110	  -91451.576		2	   9660992.9	         200	        0.06	
110	  -127072.56	1	2	    15106070	   139.19479	 0.037468808	
110	  -205500.96	2	2	    13840375	    140.4946	 0.015803257	
110	  -473528.35	3	1	    12133436	   178.40911	        0.06	
110	  -161359.34	4	2	   8500371.7	         200	        0.06	
