Baseline Natural Flux	Atmospheric Lifetime of N2O	Effective Sensitivity of Temperature on N2O Flux	
    10615100	         130	        0.06	
    10180539	   77.111813	           0	
    13840375	    140.4946	 0.015803257	
    14853033	   72.399263	 0.022705189	
     6000000	   158.26422	        0.06	
    13611363	   187.25079	 0.013047846	
    18209189	   176.13385	0.0039669364	
   7238315.2	   154.09708	 0.047090643	
   6681945.9	   106.72086	 0.052433588	
    12122016	   102.51153	  0.01376631	
    10615100	         200	        0.06	
    12901014	   88.525952	           0	
    13840375	    140.4946	 0.015803257	
    20000000	   75.910341	           0	
   6202082.4	         200	        0.06	
   9623611.4	   187.25079	 0.013565835	
    11696234	   176.13385	0.0039669364	
   7238315.2	         200	 0.047090643	
     6000000	   162.56756	        0.06	
    13542174	   102.51153	  0.01376631	
    10615100	         200	        0.06	
    12901014	   88.525952	           0	
    13840375	    140.4946	 0.015803257	
    20000000	   79.092978	 0.012197616	
   6202082.4	         200	        0.06	
   9623611.4	   187.25079	 0.013565835	
    11696234	   176.13385	0.0039669364	
   7238315.2	         200	 0.047090643	
     6000000	         200	 0.021242009	
    13542174	   102.51153	  0.01376631	
    10615100	         200	        0.06	
    12901014	   88.525952	           0	
    13840375	    140.4946	 0.015803257	
    20000000	   79.092978	 0.012197616	
   6202082.4	         200	        0.06	
   9623611.4	   187.25079	 0.013565835	
    11696234	   176.13385	0.0039669364	
   7238315.2	         200	 0.047090643	
     6000000	         200	 0.021242009	
    13542174	   102.51153	  0.01376631	
    10615100	         200	        0.06	
    15106070	   88.525952	           0	
    13840375	    140.4946	 0.015803257	
    20000000	   79.092978	 0.012197616	
   6202082.4	         200	        0.06	
   9623611.4	   187.25079	 0.013565835	
    11696234	   176.13385	0.0039669364	
   7238315.2	         200	 0.047090643	
     6000000	         200	 0.045717631	
    13542174	   102.51153	  0.01376631	
   9676918.7	         200	        0.06	
    15106070	   88.525952	           0	
    13840375	    140.4946	 0.015803257	
    20000000	   79.092978	 0.012197616	
   6202082.4	         200	        0.06	
   9623611.4	   187.25079	 0.013565835	
    11696234	   176.13385	0.0039669364	
    11922952	   147.67361	           0	
     6772467	         200	 0.045717631	
    11204032	   163.62684	 0.016626667	
   9676918.7	         200	        0.06	
    15106070	   139.19479	 0.037468808	
    13840375	    140.4946	 0.015803257	
    18386047	   98.156217	           0	
   6202082.4	         200	        0.06	
   9623611.4	   187.25079	 0.013565835	
    11696234	   176.13385	0.0039669364	
    11922952	   147.67361	           0	
     6772467	         200	 0.045717631	
    11204032	   163.62684	 0.016626667	
   9676918.7	         200	        0.06	
    15106070	   139.19479	 0.037468808	
    13840375	    140.4946	 0.015803257	
    18386047	   98.156217	           0	
   7570630.8	         200	        0.06	
   9623611.4	   187.25079	 0.015967132	
    11696234	   176.13385	           0	
    11922952	   147.67361	           0	
    15170982	   139.02629	  0.03634052	
    11204032	   163.62684	 0.016626667	
   9660992.9	         200	        0.06	
    15106070	   139.19479	 0.037468808	
    13840375	    140.4946	 0.015803257	
    20000000	   98.156217	           0	
